sample_id,prompt,original_text,attacked_text,z_score_original,z_score_attacked,is_watermarked_original,is_watermarked_attacked,num_tokens,generation_time,detection_time_original,detection_time_attacked
10,"If you want to succeed, don’t look back. skills in drawing and painting, I took notice. game, is the"," and that’s also an example, for example, that I have that, the first.

The first step, in the real-life process, is to know yourself.

1. I have never seen the word “credibility” in any scientific or","and that’s also an example, for example, that I have that, the first. The showtime step, in the real-life process, is to know yourself. 1. I rich person never seen the word “credibility” indium any sc",6.572670690061993,5.688279330265914,True,True,120,2.968549966812134,0.0010046958923339844,0.0007283687591552734
11,"CAPE CANAVERAL, Fla. (AP)  SpaceX has launched a used supply ship on a used rocket to the Internati"," a shuttle shuttle, and the first for a Russian-owned, Russian-built resupply ship. The first resupply flight took off from Cape Canaveral in April 2010.

Lift-off took off 11:48 a.m. EST. Friday with","a shuttlecock shuttle, and the beginning for a Russian-owned, Russian-built resupply ship. The first resupply flight took off from Mantle Canaveral in April 2010. Lift-off took off 11:48 a.m. EST. Fri",7.12039324756716,6.141879930089016,True,True,120,3.0304677486419678,0.0010602474212646484,0.0008282661437988281
12,"Well, it looks like the Golden State Warriors will just have to make due with four All-Stars on thei"," Kemba Walker isn&apos;t likely to return on Monday against the Philadelphia 76ers.

Coach Terry Stotts announced on Friday that Walker won&apos;t play after he was injured in the fourth quarter of Fr",Kemba Walker isn&apos;t likely to return on Monday against the Philadelphia 76ers. Coach Dame alice ellen terry Stotts announced on Friday that Walker won&apos;t play after he Evergreen State injured ,4.381780460041329,2.883223386981425,True,False,120,2.9972329139709473,0.0011248588562011719,0.0008633136749267578
13,"Google Music hasn’t been making a lot of noise lately and is, in some ways, in danger of being overs"," announced that they will start working on a streaming video service in the coming weeks.

According to a post on the company’s official Android Blog, Google will begin rolling out a beta video servic","announced that they will offset workings on a cyclosis video service in the orgasm weeks. According to a post on the company’s functionary Android Blog, Google will begin rolling out a beta telecastin",7.302967433402215,5.679076368296746,True,True,120,2.953896999359131,0.0009417533874511719,0.0009884834289550781
14,... as the iPhone chips away at RIM dominance | City A.M. STANDARD Chartered is replacing the BlackB," will pave the way for RIM to sell its smart phones through its own online stores.

The deal allows RIM, which now sells a version of BlackBerry through Apple’s online store, and Apple to tap into a m","testament pave the way for RIM to sell its smart phones through its own online stores. The deal allows RIM, which now sells a version of BlackBerry through Apple’s online store, and Apple to tap into ",3.556003556005334,2.390457218668787,False,False,62,1.4045767784118652,0.0008776187896728516,0.0006570816040039062
15,EXCLUSIVE: 100 Questions creator Christopher Moynihan has inked a two-script deal with ABC Studios t," with Universal Television and Universal Television Alternative Studio.

The first comedy project will be a half-hour anthology drama focusing on 10 different families in the midst of real-life crises",with Universal Television and Universal Television set Alternative Studio. The showtime drollery labor will be a half-hour anthology drama focussing on 10 different families in the thick of real-life ,5.659799760886717,4.736113304257958,True,True,120,3.0178844928741455,0.0010542869567871094,0.0008444786071777344
16,"The body of a woman has been found in a river at a boatyard in Woodbridge, Suffolk. Suffolk Police w"," alerted to the discovery.

Police are now trying to locate an unidentified woman who was reported missing from Woodbridge on 30 August, and was last seen at around 9.15pm on 29 August, walking along ","alerted to the discovery. Police are now trying to locate Associate in Nursing unidentified woman who was reported missing from Woodbridge on XXX August, and was last seen at around 9.15pm on XXIX Aug",6.207522318391883,5.992662179699436,True,True,120,2.99769926071167,0.0011091232299804688,0.0007696151733398438
17,Who are even trying to kid?! Kanye West is - without a shadow of a doubt - THE reason Twitter's wher,", who actually do sell a camera, are getting into this whole rap beef, too.

Sigma, in a bid to get on top of Kanye West's Twitter game, have released a new Photoshop competition. Apparently, if you c",", who actually bash sell a camera, ar getting into this whole rap beef, too. Sigma, in a bid to get on top of Kanye West's Chirrup game, wealthy person released a new Photoshop competition. Apparently",5.659799760886717,3.5287181598778687,True,False,120,2.943798303604126,0.0008642673492431641,0.0008461475372314453
18,Top performances from Tuesday's high school action. Avery Dyer (Lexington volleyball) – Dyer had 34 , 3-1 in the bi-district round. Taylor Clark (Lexington boys cross country) – Clark had the top individual performance of any boys runner in a 17.5 mile meet. The senior crossed the finish line in 10:4,3-1 atomic number 49 the bi-district round. Taylor Clark (Lexington boys cross country) – Clark had the top individual performance of any boys runner indium a 17.5 mile meet. The senior crossed the fi,4.199206274206274,2.7084825756492177,True,False,120,3.032020092010498,0.0010516643524169922,0.0008656978607177734
19,TAYCHEEDAH - Two men were seriously injured Thursday night in a head-on crash in the town of Taychee, on County W intersection with a Ford Fusion. The car crossed over County W and struck a southbound car driven by a 27-year-old man from Appleton. The man driving the car that crossed over also was in,on County W Cartesian product with a Ford Fusion. The railroad car crossed over County Tungsten and struck type A southbound car driven by ampere 27-year-old man from Appleton. The piece driving the r,6.390096504226938,5.7700698690489265,True,True,120,3.136606216430664,0.0008645057678222656,0.0008594989776611328
20,"Following recent upgrades in other markets, Comcast announced this week that it has boosted the spee"," The company also announced that it will add 10 Mbps upload speed tier in Indianapolis, Oklahoma City, and Nashville, Tennessee.

Comcast also says that it will now offer 100 Mbps upload speed tier in","The company also announced that it will add 10 Mbps upload f number tier Indiana Indianapolis, Oklahoma City, and Nashville, Tennessee. Comcast also say that it will now offer 100 Mbps upload pep pill",8.763560920082657,6.6551738206208535,True,True,120,2.963292360305786,0.0008900165557861328,0.0008370876312255859
21,A Charlotte cancer patient and his Oncologist just finished one of the most iconic marathons in the ,"
Please enable Javascript to watch this video
CHARLOTTE, N.C. – One of Charlotte and the world's top marathon runners made an incredible run across the United States.
On October 11, 2019, Team RWK Can","Please enable Javascript to watch this video CHARLOTTE, N.C. – Unity of Charlotte and the world's top marathon runners made an incredible run across the United States. On Oct 11, 2019, Squad RWK Cance",5.659799760886717,4.106409066306878,True,True,120,2.977996587753296,0.0009217262268066406,0.0008871555328369141
22,"According to the relevant laws and regulations, search results for “constitutional government” canno"," Chinese characters): “people power,” “freedom,” “civil rights,” “people’s rights,” “civil rights,” “people power,” “people power,” “freedom,” and “civil rights.”

Sina Weibo: The blocked terms

The c","Chinese characters): “people power,” “freedom,” “civil rights,” “people’s rights,” “civil rights,” “people power,” “people power,” “freedom,” and “civil rights.” Sina Weibo: The blocked terms The cont",4.199206274206274,3.2126980205784315,True,False,120,3.00958514213562,0.0009174346923828125,0.0006771087646484375
23,"RANGERS general manager Doug Melvin, whose team has been in last place since June 11, said he is mor"," bringing in a big-name free agent.

The Rangers are seeking a relief reliever in a bullpen that lacks depth. Melvin said in a conference call on Sunday, while Wetteland and Scott Feldman are being wo","bringing in a big-name free agent. The Rangers ar quest antiophthalmic factor relief reliever in adenine detention centre that lacks depth. Melvin said in a league call on Sunday, while Wetteland and ",5.294651389216606,3.7729688731351945,True,False,120,2.9837889671325684,0.0010523796081542969,0.0008685588836669922
24,"Singer Carrie Underwood, former American Idol champ and Almay makeup spokesperson, posted an Instagr",","" she captioned the photo.

Fans couldn't help but shower Carrie with compliments.

The 34-year-old entertainer also shared another photo a day later, on Feb. 10, in which she showed off her toned le",","" she captioned the photo. Fans couldn't help but cascade Carrie with compliments. The 34-year-old entertainer also shared another pic axerophthol day later, on Feb. 10, in which she showed off her t",6.390096504226938,5.070001778381037,True,True,120,3.009638547897339,0.0008807182312011719,0.0007693767547607422
25,O2 chief executive Ronan Dunne is exploring a debt-fuelled £8.5bn management buyout attempt followin,"

Hutchison was competing with BT and Vodafone for O2’s 4G spectrum, which had been priced in excess of £5bn. Hutchison, which already owns 3G and 4G licences in the United States, was looking for an ","Hutchison Evergreen State competing with BT and Vodafone for O2’s 4G spectrum, which had been priced in excess of £5bn. Hutchison, which already owns 3G and 4G licences in the United States, was looki",6.7552448758970485,5.680518698404823,True,True,120,3.132701873779297,0.0010499954223632812,0.0007281303405761719
26,"An average of five lakh Indians die every year, hoping, praying and waiting for organs. Even though "," have to die.

There are a total of 13.8 Lakh registered donors in the national pool, says a health ministry report. There are a total of 33,000 registered organ donors every year. The National Associ","wealthy person to die. There ar a total of 13.8 Lakh registered bestower in the subject pool, says a health ministry report. There are a total of 33,000 registered organ donors every year. The Nationa",8.215838362577491,6.508559328900301,True,True,120,2.9805588722229004,0.0009818077087402344,0.0008165836334228516
27,"MEMPHIS, Tenn. — One person is in critical condition after a shooting Monday in the Goodwill Village"," just after 10:00 a.m.

The victim was rushed to Regional One Hospital, which was also impacted by the gunfire. The victim was a man, and authorities believe he was there for a friend’s birthday and t","just after 10:00 a.m. The victim was rushed to Regional One Hospital, which was also impacted by the gunfire. The dupe was a man, and authorities believe he Evergreen State there for a friend’s birthd",6.937819061732104,5.89167755454927,True,True,120,3.026597499847412,0.0008611679077148438,0.0007810592651367188
28,Boots advent calendar is so popular it has a waiting list! This £40 Boots advent calendar is so popu," fix, rather than buy a box, there are also advent calendars with just goodies, or simply a calendar with lots of things.

Whether you’re on a quest for a perfect outfit, a perfect home, a perfect bab","fix, rather than buy a box, there are also advent calendars with just goodies, or simply a calendar with passel of things. Whether you’re on a quest for a perfect outfit, a perfect home, amp perfect t",7.48554161923727,6.041186552271796,True,True,120,2.9833881855010986,0.0008475780487060547,0.0008153915405273438
29,The May 20-22 American Renaissance conference in Tennessee (registration details here) is reportedly," and speaking in a special panel on Friday afternoon and will also be working with a conference-proceeding publication.

I am already working on a talk for Sunday morning, and I will give a presentati","and speechmaking in a special panel on Friday good afternoon and volition also beryllium working with a conference-proceeding publication. Ace americium already working on a talk for Sunday morning, a",7.6681158050723255,5.3452248382484875,True,True,120,2.9911227226257324,0.000797271728515625,0.0006916522979736328
30,Turkey on Friday said Syrian government forces should not be allowed in Manbij as US troops withdraw," entity by Turkey.

On Wednesday, US President Donald Trump announced that Washington would have US troops back in Syria to begin withdrawing immediately.

The announcement was made after meeting with","entity by Turkey. On Wednesday, US President Donald Trump announced that Washington would have US troops back in Syrian arab republic to begin withdrawing immediately. The announcement was made after ",6.390096504226938,4.4902996222606815,True,True,120,2.9733176231384277,0.0010721683502197266,0.0007636547088623047
31,"For her visit to Greece, Angela Merkel's soft green jacket should have been just the right colour ch"," colour green.

An emissary in the visiting leader's outfit of a drapey, blue and yellow silk shirt and black slacks was a little unexpected.

It gave an inkling that someone might choose to make a di","colour green. Associate in nursing emissary in the visiting leader's outfit of a drapey, blue air and yellow silk shirt and black slacks was a little unexpected. Information technology gave an inkling",6.207522318391883,5.747369664856797,True,True,120,2.988579273223877,0.0009047985076904297,0.0007410049438476562
32,A county council by-election for Northgate and West Green will be held on the same day as Crawley Bo," died. The Northgate and West Green Ward for Crawley Borough Council is being vacated. The poll will be held on 3rd October 2017, 7am-8pm.

As a first step in planning for the work necessary in respon","died. The Northgate and West Green Ward for Crawley Borough Council is being vacated. The crown will be held on 3rd Oct 2017, 7am-8pm. As a first step inch planning for the body of work essential indi",6.207522318391883,4.598515136803904,True,True,120,3.0481925010681152,0.0010197162628173828,0.0007872581481933594
33,Entries are now open for the well loved and much anticipated Helen’s Trust 10k and 3k fun run at Cha," with the full event offering a generous prize bag.

Runners will get a real taste for just how much running is a part of Chatsworth in a family friendly setting.

Rounding off an exceptional 2019, He",with the full event oblation ampere generous prize bag. Runners will get ampere real gustatory perception for just how much track is a part of Chatsworth in a kinsperson friendly setting. Rounding err,7.6681158050723255,5.63489130329947,True,True,120,3.064006805419922,0.0008432865142822266,0.0008373260498046875
34,"Against Michigan State last season, McSorley threw an uncharacteristic three interceptions — but the"," was in coverage, and the other, an errant pass, was tipped. McSorley also was intercepted twice in the second half, including once in overtime, in a 38–38 tie.

This season, McSorley is 13th in the n","WA in coverage, and the other, an errant pass, was tipped. McSorley also was intercepted twice inch the bit half, including once in overtime, in a 38–38 tie. This season, McSorley is 13th in the body ",4.74692883171144,3.866413395172958,True,False,120,3.104933977127075,0.0011281967163085938,0.0008494853973388672
35,Buy Dr. Reddy's Laboratories Ltd. at a price target of Rs 2555.0 and a stop loss at Rs 2430 from ent," Neutral recommendation on the stock. It is a buy in multiples of 3.8x. The sell would be triggered if the stock dips below Rs 2403, says Chandan Taparia. The long-term targets are above Rs 2600. The ","Neutral recommendation on the stock. Information technology is adenine bargain in multiples of 3.8x. The sell would beryllium triggered if the stock dips below Rs 2403, says Chandan Taparia. The long-",4.381780460041329,3.028960741674143,True,False,120,3.117877721786499,0.0008800029754638672,0.0007808208465576172
36,"""Yes but in another 15-20 years time, a well made Swiss watch that has been looked after will still "," most of today's shit. Yes, that watch is my favourite, even if I won't buy a new one for 10 years. My love for the watch shows through my behaviour.
I have an Orient that I took to a watch show a cou","most of today's shit. Yes, that watch is my favourite, even if Ace won't bargain a new one for 10 years. My love for the watch shows through my behaviour. I have an Orient that Atomic number 53 took t",5.8423739467217715,4.949747468305833,True,True,120,3.000598430633545,0.0008134841918945312,0.0008194446563720703
37,Commercial development site on Sharon Avenue and with access off of Evergreen Street. Great exposure," development site located within close walking distance to a new shopping center, restaurants and schools. This property is being developed and/or will shortly start construction. Property size 4,500 ","development site located within close walking aloofness to a new shopping center, restaurants and schools. This property is existence developed and/or will shortly start construction. Property size 4,",8.215838362577491,6.158402871356008,True,True,120,3.004328727722168,0.0009019374847412109,0.0007712841033935547
38,The Navodaya Vidyalaya Samiti (NVS) has released the notification for the recruitment to posts such ," and assistant engineer. The recruitment drive will be conducted for a total number of 4,065 vacancies.

On August 25, 2019, the union ministry of Human Resource Development, Ministry of Education, Mi","and assistant engineer. The recruitment drive will be conducted for a amount number of 4,065 vacancies. On August 25, 2019, the union ministry of Human Resource Development, Ministry of Education, Min",5.8423739467217715,5.31985084453785,True,True,120,3.182724952697754,0.0008931159973144531,0.0008027553558349609
39,OLD PIKE PLANTATION – COUNTRY LIVING AT ITS FINEST. This remarkable 5 BR / 3 BA home sits on 3.78 tr," spacious and inviting setting in which to enjoy a variety of family events. The main level offers a large living room, kitchen with a butler’s pantry, formal dining room and spacious family room with","spacious and inviting setting in which to enjoy a variety of family events. The briny level offers a large support room, kitchen with a butler’s pantry, formal dining room and spacious family room wit",8.580986734247602,7.3704347409550195,True,True,120,3.119288444519043,0.0008342266082763672,0.0007479190826416016
40,"Ljubljana, 9 January - Leader of the opposition Positive Slovenia (PS) Zoran Janković again rebuffed"," had were declared on tax records.

PS member and anti-corruption crusader Ove Radek also rebuffed the claims.

According to Radek, there are a number of cases that have been closed that in fact are a","had were declared on tax records. PS member and anti-corruption crusader Ove Radek also rebuffed the claims. According to Radek, there are adenine number of cases that have been closed that in fact ar",6.572670690061993,5.362108949786505,True,True,120,3.11936092376709,0.0008342266082763672,0.0006902217864990234
41,The best way to save money on food is to quit throwing it away. Find ways to recycle “old” food rath,", add a slice or two of mozzarella cheese, or use a little olive oil instead of frying.

6. Look for Freebies.

If a store has something on sale, buy it. Most times there is something that stores need",", add ampere slice or two of mozzarella cheese, surgery enjoyment type A little European olive tree petroleum instead of frying. 6. Look for Freebies. If a store has something on sale, buy it. Most ti",6.024948132556827,4.418181209870418,True,True,120,3.0361416339874268,0.0009775161743164062,0.0008287429809570312
42,"CFO, Secretary, Treasurer, Director & Executive VP, BigString Corp. Mr. Robert S. DeMeulemeester is "," Directors, Audit Committee and Compensation Committee. Mr. DeMeulemeester received his MBA in Finance & Accounting, and Finance Management in the year 1981. He was a member of Business and Accounting","Directors, Audit Committee and Compensation Committee. Mr. DeMeulemeester received his MBA in Finance & Accounting, and Finance Management in the year 1981. Atomic number 2 was a member of Business an",7.48554161923727,5.222329678670935,True,True,120,3.1858229637145996,0.00089263916015625,0.0009164810180664062
43,"Who says college doesn’t prepare you for the real world? Sometimes they do, right down to the final "," about students whose college degrees are in math, sciences, economics, computer science, statistics, journalism and related subjects. At least that’s what I discovered in my first year, studying for ","about students whose college degrees ar in math, sciences, economics, computing machine science, statistics, news media and related subjects. At least that’s what I discovered in my first year, studyi",8.215838362577491,6.700692544471771,True,True,120,3.088993549346924,0.0010263919830322266,0.0008003711700439453
44,"ARIES (March 21-April 19): ""Everything is complicated,"" wrote poet Wallace Stevens. ""If that were no"," agree.
TAURUS (April 20-May 20): During a conversation with a mentor, actor and writer Kevin Kline confessed that a close friend was dying of cancer. He did not want to talk about it for a number of ","agree. TAURUS (April 20-May 20): During a conversation with a mentor, histrion and writer Kevin Kline confessed that deoxyadenosine monophosphate close friend was dying of cancer. He did not want to t",4.929503017546495,4.528095585898833,True,True,120,3.0919201374053955,0.000789642333984375,0.0008032321929931641
45,Free Shipping On All Beauty Products or Supplies Orders Over $34.00 at Planet Beauty in Santa Barbar," & bumble, Hada Labo. This discount applies on online orders only.

Get $15 off any order when you create an account at Planet Beauty and enter the code PLANET10. Valid on all online orders excluding:","& bumble, Hada Labo. This price reduction applies on online orders only. Get $15 off any order when you create Associate in Nursing history atomic number 85 Planet Sweetheart and enter the code PLANET",6.207522318391883,5.590346009321517,True,True,120,3.1758081912994385,0.0008780956268310547,0.00078582763671875
46,"More social website jostling, as AOL upgrades and launches a beta version of AOL Pictures as a direc"," the past six months, is a photo sharing and collaboration site for anyone with a web camera. Now, AOL wants in. Yahoo, whose users are already flocking to Flickr in droves, may just get an upgrade. A","the past six months, is a exposure sharing and collaboration website for anyone with a network camera. Now, AOL wants in. Yahoo, whose users are already flocking to Flickr in droves, may just get Asso",6.572670690061993,5.208553758776472,True,True,120,3.057889938354492,0.0010640621185302734,0.0008597373962402344
47,FLAGGED. A man who drives his wife to work on their motorcycle says he often gets stopped by enforce," displayed a placard with the words, “MANAGED SERVICES,” when passing through an automated fare collection system.

The husband, a resident of Tiong Bahru, said: “I usually drive my wife to work. I al","displayed a notice with the words, “MANAGED SERVICES,” when passing through an automated fare appeal system. The husband, vitamin A house physician of Tiong Bahru, said: “I usually drive my wife to wo",6.7552448758970485,5.8423739467217715,True,True,120,3.043612241744995,0.0008852481842041016,0.0008108615875244141
48,Les Beaucamps school in Guernsey is currently being considered as one of the potential sites for the," Head of Governors for Schools Stephen McQueen, says that a visit will follow shortly, and will involve a visit to both schools.

Following a visit to Château Thiry in St. Pierre sur Seine, a meeting ","Forefront of Regulator for Schools Sir leslie stephen McQueen, says that a sojourn will follow shortly, and will involve a visit to both schools. Following adenine visit to Château Thiry in St. Capita",7.6681158050723255,4.599331055038999,True,True,120,3.0838325023651123,0.0009002685546875,0.0008809566497802734
49,"St Georges Cathedral of First African Church, Ipaja Town has concluded plans to stage her centenary "," committee for the event, Alhaji Ahmed Alayu, disclosed that in collaboration with the Nigeria Festival Organising Committee, they were already putting arrangements in place for a grand event with ent","committee for the event, Alhaji Ahmed Alayu, disclosed that in collaboration with the Nigeria Festival Organising Committee, they were already putting arrangements in place for deoxyadenosine monophos",7.48554161923727,7.023590753145371,True,True,120,3.1179895401000977,0.0008895397186279297,0.0008087158203125
50,"LEXINGTON, Mass., Nov. 03, 2017 (GLOBE NEWSWIRE) -- Curis, Inc. (NASDAQ:CRIS), a biotechnology compa"," today reported preliminary data for six Phase 3 studies for CDK4/6 and CDKL5/6 inhibitor candidates. Three clinical studies, a randomized Phase 3 trial, and two clinical trials, are ongoing for CRIS-","today reported preliminary data for six Phase 3 studies for CDK4/6 and CDKL5/6 inhibitor candidates. Three clinical studies, a randomized Phase 3 trial, and two clinical trials, ar ongoing for CRIS-84",6.572670690061993,5.477225575051661,True,True,120,3.281226396560669,0.0009016990661621094,0.0007772445678710938
51,"Accra, July 20, GNA - The management of Mobile Telecommunications Network (MTN) on Tuesday presented"," challenge,"" held in the Ashanti Regional Capital, Obuasi.

Mr Alex Baah, Director, MTN Marketing and Communications, said MTN in a bid to commemorate and appreciate customers, was conducting a compet","challenge,"" held in the Ashanti Regional Capital, Obuasi. Mr. Alex Baah, Director, MTN Marketing and Communications, said MTN Hoosier State amp dictation to commemorate and appreciate customers, was c",5.8423739467217715,4.598515136803904,True,True,120,3.062699556350708,0.000904083251953125,0.0008459091186523438
52,The first teaser trailer has been unveiled for the upcoming Pirates of the Caribbean: Dead Men Tell , the follow up to Pirates of the Caribbean: At World’s End. The film was developed through a collaboration between Disney and Universal with Will Ferrell and Kate Winslet starring in Pirates. Johnny D,the follow up to Pirates of the Caribbean: Astatine World’s End. The film was developed through a quislingism between Disney and Universal with Will Ferrell and Kate Winslet starring in Pirates. Johnn,5.408521132466447,3.2083068872392437,True,False,119,2.999300003051758,0.0008149147033691406,0.0008387565612792969
53,You may need to set aside some extra time if you use Metro's Green or Yellow line. Train service was," safety work on track repairs and track work.

The closure affected service for both lines Friday, Sept. 11, but Metro anticipates that service will be back on track by 9:45 p.m. Saturday, Sept. 12.

","safety work on track fixture and track work. The closure affected overhaul for both lines Friday, Sept. 11, but Metro anticipates that service will be back on track by 9:45 p.m. Saturday, Sept. 12. Yo",7.462778926574919,5.8,True,True,101,2.3989739418029785,0.0007698535919189453,0.0006992816925048828
54,MEXICO CITY (AP) — Three children have drowned off Mexico's southern Pacific coast after an immigran," Oaxaca says the bodies were recovered Sunday. The government released photos and video that show a boy and a girl in a large, yellow bag being carried away. The photo of a woman being carried over wa","Oaxaca says the bodies were recovered Sunday. The government released pic and video that show amp male child and a missy Hoosier State adenine large, yellow bag beingness carried away. The photo of a ",6.937819061732104,5.040710180528889,True,True,120,3.072726249694824,0.0008549690246582031,0.0008552074432373047
55,What's The Fastest Boat Ever Made? What you’re looking at above is a sportfishing boat that has a 6.," sits a massive 17.5ft 4.8m monohull. And it costs a fortune.

So what was done? The answer is that a lot was done. The boat in the photo above is named Aluco and it took five years and £5.4m worth of",sits a massive 17.5ft 4.8m monohull. And information technology costs antiophthalmic factor fortune. So what Evergreen State done? The solution is that a draw was done. The boat in the photo above is ,6.390096504226938,4.874174366759539,True,True,120,3.177955389022827,0.0009369850158691406,0.0007963180541992188
56,"Wildwood at Keowee... ""Where the living is casual and relaxed"". Today's buyers that plan to build ne"," to find these in cities like Vancouver and Toronto. It will be hard for home buyers today in Toronto to find a home with a pool and deck, lots of room and mature landscaping. So, I'll tell you a coup","to find these in cities like George vancouver and Toronto. It will beryllium hard for home buyers today in Toronto to breakthrough a home with amp pool and deck, lots of way and mature landscaping. So",7.48554161923727,5.8608526253383095,True,True,120,3.0784964561462402,0.0007936954498291016,0.0007734298706054688
57,BILLINGS- The Montana Rescue Mission announced Monday a familiar face as its new leader in a new par," now working on behalf of The Montana Rescue Mission.

The Friendship House is a residential facility for women and men seeking a second chance in life. This weekend, Lundgren will lead a fundraising ","now working on behalf of The Montana Rescue Mission. The Friendship House is a residential readiness for charwoman and men seeking a second chance in life. This weekend, Lundgren will lead a fundraisi",6.325219629494658,4.772970773009195,True,True,119,3.05448579788208,0.0008184909820556641,0.0008215904235839844
58,"Hey all, my name is Wollemi... I freestyle rap. I keep it fresh like Yo Gotti because I want to make"," play with my fans. I play with my fans. I play with my fans.
I love me some Freestyle Rapping.",free rein with my fans. I play with my fans. One shimmer with my fans. I love me some Freestyle Rapping.,4.426352063787131,4.041451884327381,True,True,27,0.6132855415344238,0.0007300376892089844,0.0004429817199707031
